Country,Message Type,Time,Track Number,Track Name,Channel,Control,Control Value,Instrument Name,Key Signature,Marker Text,Midi Port,Note,Velocity,Pitch,Program,Sequencer Data,Tempo,smpte_offset,Text,TS_numerator,TS_denominator,TS_clocks_per_click,TS_32nd_notes_per_beat,End of Track
Brunei,track_name,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Brunei,smpte_offset,0,0,conductor,,,,,,,,,,,,,,"[25, 32, 0, 0, 0, 0]",,,,,,
Brunei,time_signature,0,0,conductor,,,,,,,,,,,,,,,,4.0,4.0,24.0,8.0,
Brunei,set_tempo,828,0,conductor,,,,,,,,,,,,,747663.0,,,,,,,
Brunei,set_tempo,107,0,conductor,,,,,,,,,,,,,750000.0,,,,,,,
Brunei,set_tempo,170,0,conductor,,,,,,,,,,,,,752351.0,,,,,,,
Brunei,set_tempo,265,0,conductor,,,,,,,,,,,,,754716.0,,,,,,,
Brunei,set_tempo,296,0,conductor,,,,,,,,,,,,,752351.0,,,,,,,
Brunei,set_tempo,42,0,conductor,,,,,,,,,,,,,750000.0,,,,,,,
Brunei,set_tempo,288,0,conductor,,,,,,,,,,,,,747663.0,,,,,,,
Brunei,set_tempo,160,0,conductor,,,,,,,,,,,,,745341.0,,,,,,,
Brunei,set_tempo,182,0,conductor,,,,,,,,,,,,,743034.0,,,,,,,
Brunei,set_tempo,128,0,conductor,,,,,,,,,,,,,740740.0,,,,,,,
Brunei,set_tempo,65,0,conductor,,,,,,,,,,,,,738461.0,,,,,,,
Brunei,set_tempo,249,0,conductor,,,,,,,,,,,,,736196.0,,,,,,,
Brunei,set_tempo,509,0,conductor,,,,,,,,,,,,,738461.0,,,,,,,
Brunei,set_tempo,669,0,conductor,,,,,,,,,,,,,736196.0,,,,,,,
Brunei,set_tempo,867,0,conductor,,,,,,,,,,,,,733944.0,,,,,,,
Brunei,set_tempo,587,0,conductor,,,,,,,,,,,,,731707.0,,,,,,,
Brunei,set_tempo,611,0,conductor,,,,,,,,,,,,,733944.0,,,,,,,
Brunei,set_tempo,32,0,conductor,,,,,,,,,,,,,736196.0,,,,,,,
Brunei,set_tempo,716,0,conductor,,,,,,,,,,,,,738461.0,,,,,,,
Brunei,set_tempo,187,0,conductor,,,,,,,,,,,,,740740.0,,,,,,,
Brunei,set_tempo,158,0,conductor,,,,,,,,,,,,,743034.0,,,,,,,
Brunei,set_tempo,64,0,conductor,,,,,,,,,,,,,745341.0,,,,,,,
Brunei,set_tempo,150,0,conductor,,,,,,,,,,,,,747663.0,,,,,,,
Brunei,set_tempo,53,0,conductor,,,,,,,,,,,,,750000.0,,,,,,,
Brunei,set_tempo,43,0,conductor,,,,,,,,,,,,,752351.0,,,,,,,
Brunei,set_tempo,233,0,conductor,,,,,,,,,,,,,750000.0,,,,,,,
Brunei,set_tempo,53,0,conductor,,,,,,,,,,,,,747663.0,,,,,,,
Brunei,set_tempo,43,0,conductor,,,,,,,,,,,,,745341.0,,,,,,,
Brunei,set_tempo,385,0,conductor,,,,,,,,,,,,,743034.0,,,,,,,
Brunei,set_tempo,103,0,conductor,,,,,,,,,,,,,740740.0,,,,,,,
Brunei,set_tempo,931,0,conductor,,,,,,,,,,,,,743034.0,,,,,,,
Brunei,set_tempo,579,0,conductor,,,,,,,,,,,,,745341.0,,,,,,,
Brunei,set_tempo,408,0,conductor,,,,,,,,,,,,,747663.0,,,,,,,
Brunei,set_tempo,149,0,conductor,,,,,,,,,,,,,750000.0,,,,,,,
Brunei,set_tempo,106,0,conductor,,,,,,,,,,,,,752351.0,,,,,,,
Brunei,set_tempo,127,0,conductor,,,,,,,,,,,,,754716.0,,,,,,,
Brunei,set_tempo,782,0,conductor,,,,,,,,,,,,,752351.0,,,,,,,
Brunei,set_tempo,85,0,conductor,,,,,,,,,,,,,750000.0,,,,,,,
Brunei,set_tempo,64,0,conductor,,,,,,,,,,,,,747663.0,,,,,,,
Brunei,set_tempo,107,0,conductor,,,,,,,,,,,,,745341.0,,,,,,,
Brunei,set_tempo,1316,0,conductor,,,,,,,,,,,,,747663.0,,,,,,,
Brunei,set_tempo,96,0,conductor,,,,,,,,,,,,,750000.0,,,,,,,
Brunei,set_tempo,223,0,conductor,,,,,,,,,,,,,752351.0,,,,,,,
Brunei,set_tempo,499,0,conductor,,,,,,,,,,,,,754716.0,,,,,,,
Brunei,set_tempo,423,0,conductor,,,,,,,,,,,,,752351.0,,,,,,,
Brunei,set_tempo,233,0,conductor,,,,,,,,,,,,,750000.0,,,,,,,
Brunei,set_tempo,106,0,conductor,,,,,,,,,,,,,747663.0,,,,,,,
Brunei,set_tempo,331,0,conductor,,,,,,,,,,,,,745341.0,,,,,,,
Brunei,set_tempo,535,0,conductor,,,,,,,,,,,,,743034.0,,,,,,,
Brunei,set_tempo,129,0,conductor,,,,,,,,,,,,,740740.0,,,,,,,
Brunei,set_tempo,808,0,conductor,,,,,,,,,,,,,738461.0,,,,,,,
Brunei,set_tempo,1307,0,conductor,,,,,,,,,,,,,740740.0,,,,,,,
Brunei,set_tempo,215,0,conductor,,,,,,,,,,,,,743034.0,,,,,,,
Brunei,set_tempo,225,0,conductor,,,,,,,,,,,,,745341.0,,,,,,,
Brunei,set_tempo,332,0,conductor,,,,,,,,,,,,,747663.0,,,,,,,
Brunei,set_tempo,854,0,conductor,,,,,,,,,,,,,750000.0,,,,,,,
Brunei,set_tempo,1106,0,conductor,,,,,,,,,,,,,747663.0,,,,,,,
Brunei,set_tempo,1056,0,conductor,,,,,,,,,,,,,750000.0,,,,,,,
Brunei,set_tempo,972,0,conductor,,,,,,,,,,,,,752351.0,,,,,,,
Brunei,set_tempo,59,0,conductor,,,,,,,,,,,,,754716.0,,,,,,,
Brunei,set_tempo,43,0,conductor,,,,,,,,,,,,,757097.0,,,,,,,
Brunei,set_tempo,53,0,conductor,,,,,,,,,,,,,759493.0,,,,,,,
Brunei,set_tempo,31,0,conductor,,,,,,,,,,,,,761904.0,,,,,,,
Brunei,set_tempo,52,0,conductor,,,,,,,,,,,,,764331.0,,,,,,,
Brunei,set_tempo,36,0,conductor,,,,,,,,,,,,,766773.0,,,,,,,
Brunei,set_tempo,48,0,conductor,,,,,,,,,,,,,769230.0,,,,,,,
Brunei,set_tempo,83,0,conductor,,,,,,,,,,,,,771704.0,,,,,,,
Brunei,set_tempo,51,0,conductor,,,,,,,,,,,,,774193.0,,,,,,,
Brunei,set_tempo,52,0,conductor,,,,,,,,,,,,,776699.0,,,,,,,
Brunei,set_tempo,277,0,conductor,,,,,,,,,,,,,774193.0,,,,,,,
Brunei,set_tempo,11,0,conductor,,,,,,,,,,,,,771704.0,,,,,,,
Brunei,set_tempo,41,0,conductor,,,,,,,,,,,,,769230.0,,,,,,,
Brunei,set_tempo,124,0,conductor,,,,,,,,,,,,,766773.0,,,,,,,
Brunei,set_tempo,187,0,conductor,,,,,,,,,,,,,764331.0,,,,,,,
Brunei,set_tempo,815,0,conductor,,,,,,,,,,,,,761904.0,,,,,,,
Brunei,set_tempo,366,0,conductor,,,,,,,,,,,,,764331.0,,,,,,,
Brunei,set_tempo,83,0,conductor,,,,,,,,,,,,,766773.0,,,,,,,
Brunei,set_tempo,52,0,conductor,,,,,,,,,,,,,769230.0,,,,,,,
Brunei,set_tempo,73,0,conductor,,,,,,,,,,,,,771704.0,,,,,,,
Brunei,set_tempo,620,0,conductor,,,,,,,,,,,,,769230.0,,,,,,,
Brunei,set_tempo,509,0,conductor,,,,,,,,,,,,,771704.0,,,,,,,
Brunei,set_tempo,310,0,conductor,,,,,,,,,,,,,769230.0,,,,,,,
Brunei,set_tempo,78,0,conductor,,,,,,,,,,,,,766773.0,,,,,,,
Brunei,set_tempo,67,0,conductor,,,,,,,,,,,,,764331.0,,,,,,,
Brunei,set_tempo,574,0,conductor,,,,,,,,,,,,,766773.0,,,,,,,
Brunei,set_tempo,62,0,conductor,,,,,,,,,,,,,769230.0,,,,,,,
Brunei,set_tempo,125,0,conductor,,,,,,,,,,,,,771704.0,,,,,,,
Brunei,set_tempo,72,0,conductor,,,,,,,,,,,,,774193.0,,,,,,,
Brunei,set_tempo,144,0,conductor,,,,,,,,,,,,,776699.0,,,,,,,
Brunei,set_tempo,93,0,conductor,,,,,,,,,,,,,779220.0,,,,,,,
Brunei,set_tempo,399,0,conductor,,,,,,,,,,,,,776699.0,,,,,,,
Brunei,set_tempo,246,0,conductor,,,,,,,,,,,,,774193.0,,,,,,,
Brunei,set_tempo,77,0,conductor,,,,,,,,,,,,,771704.0,,,,,,,
Brunei,set_tempo,161,0,conductor,,,,,,,,,,,,,769230.0,,,,,,,
Brunei,set_tempo,104,0,conductor,,,,,,,,,,,,,766773.0,,,,,,,
Brunei,set_tempo,62,0,conductor,,,,,,,,,,,,,764331.0,,,,,,,
Brunei,set_tempo,21,0,conductor,,,,,,,,,,,,,761904.0,,,,,,,
Brunei,set_tempo,335,0,conductor,,,,,,,,,,,,,764331.0,,,,,,,
Brunei,set_tempo,94,0,conductor,,,,,,,,,,,,,766773.0,,,,,,,
Brunei,set_tempo,146,0,conductor,,,,,,,,,,,,,769230.0,,,,,,,
Brunei,set_tempo,124,0,conductor,,,,,,,,,,,,,771704.0,,,,,,,
Brunei,set_tempo,289,0,conductor,,,,,,,,,,,,,774193.0,,,,,,,
Brunei,set_tempo,444,0,conductor,,,,,,,,,,,,,776699.0,,,,,,,
Brunei,set_tempo,534,0,conductor,,,,,,,,,,,,,779220.0,,,,,,,
Brunei,set_tempo,194,0,conductor,,,,,,,,,,,,,781758.0,,,,,,,
Brunei,set_tempo,163,0,conductor,,,,,,,,,,,,,784313.0,,,,,,,
Brunei,set_tempo,31,0,conductor,,,,,,,,,,,,,786885.0,,,,,,,
Brunei,set_tempo,1257,0,conductor,,,,,,,,,,,,,792079.0,,,,,,,
Brunei,set_tempo,10,0,conductor,,,,,,,,,,,,,794701.0,,,,,,,
Brunei,set_tempo,10,0,conductor,,,,,,,,,,,,,800000.0,,,,,,,
Brunei,set_tempo,10,0,conductor,,,,,,,,,,,,,802675.0,,,,,,,
Brunei,set_tempo,10,0,conductor,,,,,,,,,,,,,805369.0,,,,,,,
Brunei,set_tempo,178,0,conductor,,,,,,,,,,,,,808080.0,,,,,,,
Brunei,set_tempo,20,0,conductor,,,,,,,,,,,,,810810.0,,,,,,,
Brunei,set_tempo,10,0,conductor,,,,,,,,,,,,,819112.0,,,,,,,
Brunei,set_tempo,9,0,conductor,,,,,,,,,,,,,821917.0,,,,,,,
Brunei,set_tempo,59,0,conductor,,,,,,,,,,,,,827586.0,,,,,,,
Brunei,set_tempo,9,0,conductor,,,,,,,,,,,,,830449.0,,,,,,,
Brunei,set_tempo,23,0,conductor,,,,,,,,,,,,,836236.0,,,,,,,
Brunei,set_tempo,16,0,conductor,,,,,,,,,,,,,845070.0,,,,,,,
Brunei,set_tempo,9,0,conductor,,,,,,,,,,,,,848056.0,,,,,,,
Brunei,set_tempo,19,0,conductor,,,,,,,,,,,,,851063.0,,,,,,,
Brunei,set_tempo,525,0,conductor,,,,,,,,,,,,,848056.0,,,,,,,
Brunei,set_tempo,28,0,conductor,,,,,,,,,,,,,845070.0,,,,,,,
Brunei,set_tempo,19,0,conductor,,,,,,,,,,,,,842105.0,,,,,,,
Brunei,set_tempo,350,0,conductor,,,,,,,,,,,,,848056.0,,,,,,,
Brunei,set_tempo,29,0,conductor,,,,,,,,,,,,,854092.0,,,,,,,
Brunei,set_tempo,18,0,conductor,,,,,,,,,,,,,857142.0,,,,,,,
Brunei,end_of_track,6740,0,conductor,,,,,,,,,,,,,,,,,,,,True
Brunei,instrument_name,0,1,trumpet(s),,,,Sound Canvas,,,,,,,,,,,,,,,,False
Brunei,track_name,0,1,trumpet(s),,,,,,,,,,,,,,,,,,,,
Brunei,note_on,0,1,trumpet(s),0.0,,,,,,,72.0,103.0,,,,,,,,,,,
Brunei,control_change,0,1,trumpet(s),,1.0,0.0,,,,,,,,,,,,,,,,,
Brunei,control_change,0,1,trumpet(s),,7.0,127.0,,,,,,,,,,,,,,,,,
Brunei,control_change,0,1,trumpet(s),,64.0,0.0,,,,,,,,,,,,,,,,,
Brunei,program_change,0,1,trumpet(s),0.0,,,,,,,,,,56.0,,,,,,,,,
Brunei,control_change,1,1,trumpet(s),,91.0,127.0,,,,,,,,,,,,,,,,,
Brunei,control_change,0,1,trumpet(s),,93.0,82.0,,,,,,,,,,,,,,,,,
Brunei,pitchwheel,0,1,trumpet(s),0.0,,,,,,,,,0.0,,,,,,,,,,
Brunei,control_change,0,1,trumpet(s),,10.0,84.0,,,,,,,,,,,,,,,,,
Brunei,control_change,0,1,trumpet(s),,11.0,127.0,,,,,,,,,,,,,,,,,
Brunei,note_off,445,1,trumpet(s),0.0,,,,,,,72.0,53.0,,,,,,,,,,,
Brunei,note_on,25,1,trumpet(s),0.0,,,,,,,69.0,103.0,,,,,,,,,,,
Brunei,note_off,450,1,trumpet(s),0.0,,,,,,,69.0,70.0,,,,,,,,,,,
Brunei,note_on,14,1,trumpet(s),0.0,,,,,,,67.0,106.0,,,,,,,,,,,
Brunei,note_off,687,1,trumpet(s),0.0,,,,,,,67.0,51.0,,,,,,,,,,,
Brunei,note_on,37,1,trumpet(s),0.0,,,,,,,65.0,98.0,,,,,,,,,,,
Brunei,note_off,186,1,trumpet(s),0.0,,,,,,,65.0,63.0,,,,,,,,,,,
Brunei,note_on,62,1,trumpet(s),0.0,,,,,,,65.0,103.0,,,,,,,,,,,
Brunei,note_off,904,1,trumpet(s),0.0,,,,,,,65.0,66.0,,,,,,,,,,,
Brunei,note_on,45,1,trumpet(s),0.0,,,,,,,65.0,101.0,,,,,,,,,,,
Brunei,note_off,416,1,trumpet(s),0.0,,,,,,,65.0,55.0,,,,,,,,,,,
Brunei,note_on,74,1,trumpet(s),0.0,,,,,,,67.0,109.0,,,,,,,,,,,
Brunei,note_off,415,1,trumpet(s),0.0,,,,,,,67.0,42.0,,,,,,,,,,,
Brunei,note_on,51,1,trumpet(s),0.0,,,,,,,69.0,98.0,,,,,,,,,,,
Brunei,note_off,460,1,trumpet(s),0.0,,,,,,,69.0,47.0,,,,,,,,,,,
Brunei,note_on,39,1,trumpet(s),0.0,,,,,,,70.0,111.0,,,,,,,,,,,
Brunei,note_off,429,1,trumpet(s),0.0,,,,,,,70.0,40.0,,,,,,,,,,,
Brunei,note_on,48,1,trumpet(s),0.0,,,,,,,72.0,98.0,,,,,,,,,,,
Brunei,note_off,910,1,trumpet(s),0.0,,,,,,,72.0,53.0,,,,,,,,,,,
Brunei,note_on,62,1,trumpet(s),0.0,,,,,,,77.0,106.0,,,,,,,,,,,
Brunei,note_off,427,1,trumpet(s),0.0,,,,,,,77.0,36.0,,,,,,,,,,,
Brunei,note_on,39,1,trumpet(s),0.0,,,,,,,74.0,101.0,,,,,,,,,,,
Brunei,note_off,450,1,trumpet(s),0.0,,,,,,,74.0,30.0,,,,,,,,,,,
Brunei,note_on,33,1,trumpet(s),0.0,,,,,,,72.0,101.0,,,,,,,,,,,
Brunei,note_off,464,1,trumpet(s),0.0,,,,,,,72.0,3.0,,,,,,,,,,,
Brunei,note_on,15,1,trumpet(s),0.0,,,,,,,70.0,109.0,,,,,,,,,,,
Brunei,note_off,216,1,trumpet(s),0.0,,,,,,,70.0,1.0,,,,,,,,,,,
Brunei,note_on,18,1,trumpet(s),0.0,,,,,,,69.0,98.0,,,,,,,,,,,
Brunei,note_off,174,1,trumpet(s),0.0,,,,,,,69.0,40.0,,,,,,,,,,,
Brunei,note_on,80,1,trumpet(s),0.0,,,,,,,70.0,111.0,,,,,,,,,,,
Brunei,note_off,865,1,trumpet(s),0.0,,,,,,,70.0,61.0,,,,,,,,,,,
Brunei,note_on,98,1,trumpet(s),0.0,,,,,,,72.0,101.0,,,,,,,,,,,
Brunei,note_off,454,1,trumpet(s),0.0,,,,,,,72.0,62.0,,,,,,,,,,,
Brunei,note_on,21,1,trumpet(s),0.0,,,,,,,70.0,111.0,,,,,,,,,,,
Brunei,note_off,385,1,trumpet(s),0.0,,,,,,,70.0,65.0,,,,,,,,,,,
Brunei,note_on,71,1,trumpet(s),0.0,,,,,,,69.0,103.0,,,,,,,,,,,
Brunei,note_off,443,1,trumpet(s),0.0,,,,,,,69.0,51.0,,,,,,,,,,,
Brunei,note_on,55,1,trumpet(s),0.0,,,,,,,70.0,109.0,,,,,,,,,,,
Brunei,note_off,260,1,trumpet(s),0.0,,,,,,,70.0,62.0,,,,,,,,,,,
Brunei,note_on,63,1,trumpet(s),0.0,,,,,,,69.0,90.0,,,,,,,,,,,
Brunei,note_off,83,1,trumpet(s),0.0,,,,,,,69.0,59.0,,,,,,,,,,,
Brunei,note_on,56,1,trumpet(s),0.0,,,,,,,67.0,103.0,,,,,,,,,,,
Brunei,note_off,856,1,trumpet(s),0.0,,,,,,,67.0,53.0,,,,,,,,,,,
Brunei,note_on,147,1,trumpet(s),0.0,,,,,,,72.0,101.0,,,,,,,,,,,
Brunei,note_off,437,1,trumpet(s),0.0,,,,,,,72.0,73.0,,,,,,,,,,,
Brunei,note_on,10,1,trumpet(s),0.0,,,,,,,69.0,103.0,,,,,,,,,,,
Brunei,note_off,462,1,trumpet(s),0.0,,,,,,,69.0,25.0,,,,,,,,,,,
Brunei,note_on,3,1,trumpet(s),0.0,,,,,,,67.0,109.0,,,,,,,,,,,
Brunei,note_off,715,1,trumpet(s),0.0,,,,,,,67.0,69.0,,,,,,,,,,,
Brunei,note_on,22,1,trumpet(s),0.0,,,,,,,65.0,98.0,,,,,,,,,,,
Brunei,note_off,159,1,trumpet(s),0.0,,,,,,,65.0,64.0,,,,,,,,,,,
Brunei,note_on,71,1,trumpet(s),0.0,,,,,,,65.0,101.0,,,,,,,,,,,
Brunei,note_off,910,1,trumpet(s),0.0,,,,,,,65.0,64.0,,,,,,,,,,,
Brunei,note_on,63,1,trumpet(s),0.0,,,,,,,65.0,103.0,,,,,,,,,,,
Brunei,note_on,449,1,trumpet(s),0.0,,,,,,,69.0,101.0,,,,,,,,,,,
Brunei,note_off,1,1,trumpet(s),0.0,,,,,,,65.0,47.0,,,,,,,,,,,
Brunei,note_off,445,1,trumpet(s),0.0,,,,,,,69.0,63.0,,,,,,,,,,,
Brunei,note_on,52,1,trumpet(s),0.0,,,,,,,70.0,106.0,,,,,,,,,,,
Brunei,note_off,405,1,trumpet(s),0.0,,,,,,,70.0,75.0,,,,,,,,,,,
Brunei,note_on,77,1,trumpet(s),0.0,,,,,,,72.0,101.0,,,,,,,,,,,
Brunei,note_off,400,1,trumpet(s),0.0,,,,,,,72.0,59.0,,,,,,,,,,,
Brunei,note_on,57,1,trumpet(s),0.0,,,,,,,74.0,98.0,,,,,,,,,,,
Brunei,note_off,890,1,trumpet(s),0.0,,,,,,,74.0,56.0,,,,,,,,,,,
Brunei,note_on,107,1,trumpet(s),0.0,,,,,,,77.0,103.0,,,,,,,,,,,
Brunei,note_off,407,1,trumpet(s),0.0,,,,,,,77.0,42.0,,,,,,,,,,,
Brunei,note_on,42,1,trumpet(s),0.0,,,,,,,76.0,101.0,,,,,,,,,,,
Brunei,note_off,421,1,trumpet(s),0.0,,,,,,,76.0,61.0,,,,,,,,,,,
Brunei,note_on,81,1,trumpet(s),0.0,,,,,,,74.0,103.0,,,,,,,,,,,
Brunei,note_off,451,1,trumpet(s),0.0,,,,,,,74.0,23.0,,,,,,,,,,,
Brunei,note_on,28,1,trumpet(s),0.0,,,,,,,72.0,106.0,,,,,,,,,,,
Brunei,note_on,232,1,trumpet(s),0.0,,,,,,,70.0,103.0,,,,,,,,,,,
Brunei,note_off,17,1,trumpet(s),0.0,,,,,,,72.0,17.0,,,,,,,,,,,
Brunei,note_off,227,1,trumpet(s),0.0,,,,,,,70.0,28.0,,,,,,,,,,,
Brunei,note_on,18,1,trumpet(s),0.0,,,,,,,69.0,109.0,,,,,,,,,,,
Brunei,note_off,890,1,trumpet(s),0.0,,,,,,,69.0,61.0,,,,,,,,,,,
Brunei,note_on,58,1,trumpet(s),0.0,,,,,,,70.0,115.0,,,,,,,,,,,
Brunei,note_off,425,1,trumpet(s),0.0,,,,,,,70.0,73.0,,,,,,,,,,,
Brunei,note_on,37,1,trumpet(s),0.0,,,,,,,74.0,103.0,,,,,,,,,,,
Brunei,note_off,454,1,trumpet(s),0.0,,,,,,,74.0,39.0,,,,,,,,,,,
Brunei,note_on,25,1,trumpet(s),0.0,,,,,,,72.0,103.0,,,,,,,,,,,
Brunei,note_off,481,1,trumpet(s),0.0,,,,,,,72.0,72.0,,,,,,,,,,,
Brunei,note_on,8,1,trumpet(s),0.0,,,,,,,69.0,106.0,,,,,,,,,,,
Brunei,note_off,485,1,trumpet(s),0.0,,,,,,,69.0,44.0,,,,,,,,,,,
Brunei,note_on,3,1,trumpet(s),0.0,,,,,,,67.0,106.0,,,,,,,,,,,
Brunei,note_off,863,1,trumpet(s),0.0,,,,,,,67.0,73.0,,,,,,,,,,,
Brunei,note_on,98,1,trumpet(s),0.0,,,,,,,65.0,106.0,,,,,,,,,,,
Brunei,note_off,473,1,trumpet(s),0.0,,,,,,,65.0,59.0,,,,,,,,,,,
Brunei,note_on,8,1,trumpet(s),0.0,,,,,,,69.0,109.0,,,,,,,,,,,
Brunei,note_off,461,1,trumpet(s),0.0,,,,,,,69.0,69.0,,,,,,,,,,,
Brunei,note_on,12,1,trumpet(s),0.0,,,,,,,70.0,115.0,,,,,,,,,,,
Brunei,note_off,432,1,trumpet(s),0.0,,,,,,,70.0,72.0,,,,,,,,,,,
Brunei,note_on,44,1,trumpet(s),0.0,,,,,,,72.0,103.0,,,,,,,,,,,
Brunei,note_off,435,1,trumpet(s),0.0,,,,,,,72.0,46.0,,,,,,,,,,,
Brunei,note_on,56,1,trumpet(s),0.0,,,,,,,74.0,103.0,,,,,,,,,,,
Brunei,note_off,969,1,trumpet(s),0.0,,,,,,,74.0,41.0,,,,,,,,,,,
Brunei,note_on,29,1,trumpet(s),0.0,,,,,,,70.0,111.0,,,,,,,,,,,
Brunei,note_off,430,1,trumpet(s),0.0,,,,,,,70.0,69.0,,,,,,,,,,,
Brunei,note_on,16,1,trumpet(s),0.0,,,,,,,74.0,98.0,,,,,,,,,,,
Brunei,note_off,458,1,trumpet(s),0.0,,,,,,,74.0,63.0,,,,,,,,,,,
Brunei,note_on,13,1,trumpet(s),0.0,,,,,,,72.0,98.0,,,,,,,,,,,
Brunei,note_off,472,1,trumpet(s),0.0,,,,,,,72.0,75.0,,,,,,,,,,,
Brunei,note_on,2,1,trumpet(s),0.0,,,,,,,70.0,109.0,,,,,,,,,,,
Brunei,note_on,237,1,trumpet(s),0.0,,,,,,,69.0,103.0,,,,,,,,,,,
Brunei,note_off,10,1,trumpet(s),0.0,,,,,,,70.0,73.0,,,,,,,,,,,
Brunei,note_off,226,1,trumpet(s),0.0,,,,,,,69.0,8.0,,,,,,,,,,,
Brunei,note_on,7,1,trumpet(s),0.0,,,,,,,70.0,106.0,,,,,,,,,,,
Brunei,note_off,860,1,trumpet(s),0.0,,,,,,,70.0,52.0,,,,,,,,,,,
Brunei,note_on,80,1,trumpet(s),0.0,,,,,,,74.0,106.0,,,,,,,,,,,
Brunei,note_off,474,1,trumpet(s),0.0,,,,,,,74.0,66.0,,,,,,,,,,,
Brunei,note_on,1,1,trumpet(s),0.0,,,,,,,72.0,101.0,,,,,,,,,,,
Brunei,note_off,498,1,trumpet(s),0.0,,,,,,,72.0,67.0,,,,,,,,,,,
Brunei,note_on,4,1,trumpet(s),0.0,,,,,,,70.0,106.0,,,,,,,,,,,
Brunei,note_on,477,1,trumpet(s),0.0,,,,,,,76.0,103.0,,,,,,,,,,,
Brunei,note_off,19,1,trumpet(s),0.0,,,,,,,70.0,65.0,,,,,,,,,,,
Brunei,note_off,234,1,trumpet(s),0.0,,,,,,,76.0,73.0,,,,,,,,,,,
Brunei,note_on,87,1,trumpet(s),0.0,,,,,,,76.0,101.0,,,,,,,,,,,
Brunei,note_off,119,1,trumpet(s),0.0,,,,,,,76.0,72.0,,,,,,,,,,,
Brunei,note_on,34,1,trumpet(s),0.0,,,,,,,77.0,103.0,,,,,,,,,,,
Brunei,note_off,924,1,trumpet(s),0.0,,,,,,,77.0,1.0,,,,,,,,,,,
Brunei,note_on,35,1,trumpet(s),0.0,,,,,,,74.0,95.0,,,,,,,,,,,
Brunei,note_on,463,1,trumpet(s),0.0,,,,,,,70.0,106.0,,,,,,,,,,,
Brunei,note_off,10,1,trumpet(s),0.0,,,,,,,74.0,74.0,,,,,,,,,,,
Brunei,note_off,422,1,trumpet(s),0.0,,,,,,,70.0,44.0,,,,,,,,,,,
Brunei,note_on,87,1,trumpet(s),0.0,,,,,,,69.0,103.0,,,,,,,,,,,
Brunei,note_on,475,1,trumpet(s),0.0,,,,,,,72.0,101.0,,,,,,,,,,,
Brunei,note_off,18,1,trumpet(s),0.0,,,,,,,69.0,67.0,,,,,,,,,,,
